SNo	Slot	AdditionalSlot	CourseNo	CourseName	InstructorName	OldCredit	NewCredit	Prerequisite	Period	Maxoverallstrength	MinOtherBranchStrength	OfferedforBTechDD	ElectiveVacancy	ElectiveRegn	RoomNo	Coordinator	CCChairperson	AllocationType
1	B 		AE5510	Security of safety-critical systems	Devaprakash Muniraj	3	9	The students must have taken basic courses on differential equations, signals and systems, and dynamical systems and control.		80	20	Yes			NAC2 421	Y	Sameen A	CG
2	ZZ		AE6999	Special Topics in Aerospace Engineering	SAMEEN A	3	6			0	0	No			CR1	Y	Sameen A	
3	YY		AE7999	Special Topics in Aerospace Engineering	SAMEEN A	3	6			0	0	No			CR2	Y	Sameen A	
4	D 		AM1001	Biomedical sensors and Measurements	RAGHAVENDRA SAI V V	3	9			0	0	No			TERRACE HALL	Y	Sayan Gupta	
5	A 		AM1010	Introduction to Physiology for Engineers  	SUJATHA N	3	9			0	0	No			NEWTON HALL	Y	Sayan Gupta	
6	R 		AM1011	Introductory Physiology Lab	ARUN KUMAR THITTAI	2	5			0	0	No			ED526	Y	Sayan Gupta	
7	E 		AM1100	Engineering Mechanics	MAHESH PANCHAGNULA	4	10	NULL		0	0	No			RMN 101, 102, 201	N	Sayan Gupta	
8	E 		AM1100	Engineering Mechanics	S GANGA PRASATH	4	10	NULL		0	0	No			RMN 101, 102, 201	Y	Sayan Gupta	
9	E 		AM1100	Engineering Mechanics	RAMAKRISHNAN S	4	10	NULL		0	0	No			RMN 101, 102, 201	N	Sayan Gupta	
10	F 		AM1105	Problem Solving and Computation	PRASAD PATNAIK B S V	3	9	None		0	0	No			DCIF	Y	Sayan Gupta	
11	P 		AM1106	Problem Solving and Computation : Programing Lab	PRASAD PATNAIK B S V	3	6	None		0	0	No			ED526	Y	Sayan Gupta	
12	E 		AM2001	Fundamentals of Biomaterials	SWATHI SUDHAKAR	3	9			40	15	Yes			MSB 208	Y	Sayan Gupta	SI
13	D 		AM2200	Strength of Materials	ANURADHA BANERJEE	4	10	NA		0	0	No			CRC 	Y	Sayan Gupta	
14	D 		AM2200	Strength of Materials	AROCKIARAJAN A	4	10	NA		0	0	No			CRC 	N	Sayan Gupta	
15	C 		AM2530	Foundations of Fluid Mechanics	ABHIJIT CHAUDHURI	4	10	AM110 		0	0	No			CRC 202,304,305	Y	Sayan Gupta	
16	C 		AM2530	Foundations of Fluid Mechanics	SARITH P SATHIAN	4	10	AM110 		0	0	No			CRC 202,304,305	N	Sayan Gupta	
17	C 		AM2530	Foundations of Fluid Mechanics	Anubhab Roy	4	10	AM110 		0	0	No			CRC 202,304,305	N	Sayan Gupta	
18	Q 		AM2540	Applied Mechanics Lab	SARITH P SATHIAN	3	6			0	0	No			FM LAB	N	Sayan Gupta	
19	Q 		AM2540	Applied Mechanics Lab	ABHIJIT CHAUDHURI	3	6			0	0	No			FM LAB	N	Sayan Gupta	
20	Q 		AM2540	Applied Mechanics Lab	SHUVRANGSU DAS	3	6			0	0	No			FM LAB	N	Sayan Gupta	
21	Q 		AM2540	Applied Mechanics Lab	KUNDANATI LAKSHMINATH	3	6			0	0	No			FM LAB	Y	Sayan Gupta	
22	Q 		AM2540	Applied Mechanics Lab	Anubhab Roy	3	6			0	0	No			FM LAB	N	Sayan Gupta	
23	E 		AM2550	Materials and Machanics	SIVAKUMAR M S	3	9	Should have cleared AM1100 Engineering Mechanics		0	0	No			RMN 202	N	Sayan Gupta	
24	E 		AM2550	Materials and Machanics	PIJUSH GHOSH	3	9	Should have cleared AM1100 Engineering Mechanics		0	0	No			RMN 202	Y	Sayan Gupta	
25	D 	S	AM2900	Numerical Methods: Theory & Lab	SAYAN GUPTA	4	15			0	0	No			DCIF, ED526	Y	Sayan Gupta	
26	XX		AM4901	Undergraduate Research Project I	SAYAN GUPTA	3	9			10	10	Yes				Y	Sayan Gupta	SI
27	XX		AM4902	Undergraduate Research  Project II	SAYAN GUPTA	3	9			10	10	Yes				Y	Sayan Gupta	SI
28	B 		AM5009	Life of Ubiquitous Materials: From Science to Behaviour	KUNDANATI LAKSHMINATH	3	9	None		50	30	Yes			MSB112	Y	Sayan Gupta	SI
29	B 		AM5009	Life of Ubiquitous Materials: From Science to Behaviour	S GANGA PRASATH	3	9	None		50	30	Yes			MSB112	N	Sayan Gupta	SI
30	F 		AM5010	Biomechanics	SAUMENDRA KUMAR BAJPAI	3	9	COT		40	10	Yes			MSB 208	Y	Sayan Gupta	SI
31	N 		AM5011	Virtual Reality Engineering	MANIVANNAN M	3	9			50	20	Yes			MSB 208	Y	Sayan Gupta	SI
32	XX		AM5013	Operating Theater Instrumentation and Surgical Technology	RAMAKRISHNAN S	3	9	Basic course on Biomedical Instrumentation		0	0	No			MSB 112	Y	Sayan Gupta	
33	A 		AM5016	Numerical methods in Biomedical Engineering	Babji Srinivasan	3	9			50	20	Yes			MSB 208	Y	Sayan Gupta	SI
34	Q 		AM5023	Physiological measurements and Instrumentation Laboratory	RAGHAVENDRA SAI V V	3	6			0	0	No			BM LAB	N	Sayan Gupta	
35	Q 		AM5023	Physiological measurements and Instrumentation Laboratory	RAMAKRISHNAN S	3	6			0	0	No			BM LAB	Y	Sayan Gupta	
36	F 		AM5030	Linear Dynamical Systems	SHAIKH FARUQUE ALI	3	9			50	35	Yes			CRC	Y	Sayan Gupta	SI
37	J 		AM5061	Design of Thermal and Fluid Systems	SATYANARAYANAN S	3	9			50	20	Yes			FMSH	Y	Sayan Gupta	SI
38	D 		AM5119	Physiology for Engineers	VARADHAN S K M	3	9	None		0	0	No			NEWTON HALL	Y	Sayan Gupta	
39	ZZ		AM5200	Summer Industrial Internship	SHUVRANGSU DAS	15	15	none		0	0	No				N	Sayan Gupta	
40	ZZ		AM5200	Summer Industrial Internship	Anubhab Roy	15	15	none		0	0	No				N	Sayan Gupta	
41	ZZ		AM5200	Summer Industrial Internship	RAGHAVENDRA SAI V V	15	15	none		0	0	No				Y	Sayan Gupta	
42	YY		AM5220	Summer Project	Anubhab Roy	10	10			0	0	No				N	Sayan Gupta	
43	YY		AM5220	Summer Project	RAGHAVENDRA SAI V V	10	10			0	0	No				Y	Sayan Gupta	
44	YY		AM5220	Summer Project	SHUVRANGSU DAS	10	10			0	0	No				N	Sayan Gupta	
45	B 		AM5390	Advanced Solid Mechanics	SHUVRANGSU DAS	3	9	NULL		60	30	Yes			MSB208	Y	Sayan Gupta	SI
46	ZZ		AM5401	Project I	Anubhab Roy	10	30			0	0	No				N	Sayan Gupta	
47	ZZ		AM5401	Project I	RAGHAVENDRA SAI V V	10	30			0	0	No				Y	Sayan Gupta	
48	ZZ		AM5401	Project I	SHUVRANGSU DAS	10	30			0	0	No				N	Sayan Gupta	
49	D 		AM5450	Fundamentals of Finite Element Analysis	GANESH TAMADAPU	3	9			50	25	Yes			MSB 208	Y	Sayan Gupta	SI
50	J 		AM5460	Physicochemical Hydrodynamics	BABURAJ A P	3	9	NULL		40	20	Yes			CRC 201	Y	Sayan Gupta	SI
51	WW		AM5480	Seminar	RINKU MUKHERJEE	1	3	NULL		0	0	No				Y	Sayan Gupta	
52	C 		AM5510	Biomedical Signals and Systems	ADITI KATHPALIA	3	9			40	20	Yes			MSB 208	Y	Sayan Gupta	SI
53	C 		AM5530	Advanced Fluid Mechanics	ARUL PRAKASH K	3	9			70	50	Yes			RJN 202	Y	Sayan Gupta	SI
54	G 		AM5570	Introduction to Turbulence	RINKU MUKHERJEE	3	9	NULL		40	0	Yes			FMSH	Y	Sayan Gupta	SI
55	A 		AM5600	Computational Methods in Mechanics	Ilaksh	3	9			60	40	Yes			RJN 201	Y	Sayan Gupta	SI
56	E 		AM5630	Foundation of Computational Fluid Dynamics	Vagesh D Narasimhamurthy	3	9	NULL		60	30	Yes			NEWTON HALL	Y	Sayan Gupta	SI
57	ZZ		AM5801	Computational Laboratory	KANNABIRAN SESHASAYANAN	5	5			0	0	No			DCIF	Y	Sayan Gupta	
58	T 		AM5810	Computational Lab	Ilaksh	2	6	NULL		0	0	No			ED526	Y	Sayan Gupta	
59	F 		AM6016	Convective Transport Processes	KIRAN RAJ M	3	9			30	20	Yes			NEWTON HALL	Y	Sayan Gupta	SI
60	XX		AM6021	Introduction to Research	SIVAKUMAR M S	2	0	NIL		0	0	No				Y	Sayan Gupta	
61	D 		AM6512	Application of Molecular Dynamics	PIJUSH GHOSH	3	9	NULL		25	20	Yes			MSB 112	Y	Sayan Gupta	SI
62	E 		AM6513	Advanced Computational Fluid Dynamics	VENGADESAN S	3	9	NULL		30	10	Yes			FMSH	Y	Sayan Gupta	SI
63	M 		AM6516	Neuromechanics of Human Movement	VARADHAN S K M	4	12	COT		0	0	No			MSB 112	Y	Sayan Gupta	
64	MM		AM6999	Special Topics in Applied Mechanics	Ilaksh	3	6			0	0	No				N	Sayan Gupta	
65	MM		AM6999	Special Topics in Applied Mechanics	BABURAJ A P	3	6			0	0	No				N	Sayan Gupta	
66	MM		AM6999	Special Topics in Applied Mechanics	SUJATHA N	3	6			0	0	No				Y	Sayan Gupta	
67	NT		AM7999	Special Topics in Applied Mechanics	Ilaksh	3	6			0	0	No				N	Sayan Gupta	
68	NT		AM7999	Special Topics in Applied Mechanics	BABURAJ A P	3	6			0	0	No				N	Sayan Gupta	
69	NT		AM7999	Special Topics in Applied Mechanics	SUJATHA N	3	6			0	0	No				Y	Sayan Gupta	
70	D 		AS2010	Basic Strength of Materials	DAVID KUMAR	3	9			80	20	Yes			CR3	Y	Sameen A	CG
71	C 		AS2010*	Basic Strength of Materials	NIDISH NARAYANA BALAJI	3	9			80	20	Yes			CR1	Y	Sameen A	CG
72	G 		AS2030	Gas Dynamics	SHANKAR GHOSH	3	9			80	20	Yes			CR2	Y	Sameen A	CG
73	D 		AS2030*	Gas Dynamics	SRIRAM RENGARAJAN	3	9			80	20	Yes			CR4	Y	Sameen A	CG
74	C 		AS2050	Aerodynamics	LUOYI TAO	3	9			80	20	Yes			CR2	Y	Sameen A	CG
75	B 		AS2050*	Aerodynamics	PRADEEP KUMAR SESHADRI	3	9			80	20	Yes			CR2	Y	Sameen A	CG
76	K2	J1	AS2100	Basic Aerospace Engineering Lab	Senthil Murugan M	4	5			120	0	Yes			STR	Y	Sameen A	CG
77	R 		AS2100	Basic Aerospace Engineering Lab	RAMAKRISHNA P A	4	5			120	0	Yes			Prop	Y	Sameen A	CG
78	L1	J1, K2	AS2100	Basic Aerospace Engineering Lab	Manikandan M S	4	5			120	0	Yes			GD	Y	Sameen A	CG
79	L1	J1, K2	AS2100	Basic Aerospace Engineering Lab	ANIKETH KALUR	4	5			120	0	Yes			GD	N	Sameen A	CG
80	M1	H1,H2	AS2510	Low Speed Lab	PRADEEP KUMAR SESHADRI	2	5	NULL		80	20	Yes			NAC2 421	Y	Sameen A	CG
81	Q 	H1	AS2510	Low Speed Lab	PRADEEP KUMAR SESHADRI	2	5	NULL		80	20	Yes			STR	Y	Sameen A	CG
82	P 	H2	AS2510*	Low Speed Lab	SANTANU GHOSH	2	5			80	20	Yes			CR5, NAC2 421	Y	Sameen A	CG
83	P 		AS2520	Propulsion Lab	RAMAKRISHNA P A	1	2			80	20	Yes			GD	Y	Sameen A	CG
84	Q 	H1,M2	AS2520*	Propulsion Lab	RAMAKRISHNA P A	1	2			80	20	Yes			GD	Y	Sameen A	CG
85	F 		AS3020	Aerospace Structures	SHANTANU SHASHIKANT MULAY	3	9			80	20	Yes			CR2	Y	Sameen A	CG
86	A 		AS3020*	Aerospace Structures	Senthil Murugan M	3	9			80	20	Yes			CR3	Y	Sameen A	CG
87	B 		AS3050	Flight Dynamics II	JOEL GEORGE M	3	9			80	20	Yes			CR3	Y	Sameen A	CG
88	F 		AS3050*	Flight Dynamics II	NANDAN KUMAR SINHA	3	9			80	20	Yes			CR1	Y	Sameen A	CG
