CourseNo	SNo	Slot	AdditionalSlot	CourseName	InstructorName	OldCredit	NewCredit	Prerequisite	Period	Maxoverallstrength	MinOtherBranchStrength	OfferedforBTechDD	ElectiveVacancy	ElectiveRegn	RoomNo	Coordinator	CCChairperson	AllocationType
AE6999	1	ZZ		Special Topics in Aerospace Engineering	MURTHY H S N	3	6			0	0	No				Y	Murthy H S N	
AE7999	2	YY		Special Topics in Aerospace Engineering	MURTHY H S N	3	6			0	0	No				Y	Murthy H S N	
AM1100	3	E		Engineering Mechanics	SIVAKUMAR M S	4	10	NULL		0	0	No			RMN201,RMN202,CRC305,CRC205	Y	Sayan Gupta	
AM1100	4	E		Engineering Mechanics	GANESH TAMADAPU	4	10	NULL		0	0	No			RMN201,RMN202,CRC305,CRC205	N	Sayan Gupta	
AM1100	5	E		Engineering Mechanics	Vagesh D Narasimhamurthy	4	10	NULL		0	0	No			RMN201,RMN202,CRC305,CRC205	N	Sayan Gupta	
AM1100	6	E		Engineering Mechanics	SAYAN GUPTA	4	10	NULL		0	0	No			RMN201,RMN202,CRC305,CRC205	N	Sayan Gupta	
AM2200	7	B		Strength of Materials	Ilaksh	4	10	NA		0	0	No			CRC204	Y	Sayan Gupta	
AM4901	8	WW		Undergraduate Research Project I	SIVAKUMAR M S	3	9			0	0	No				Y	Sayan Gupta	
AM4902	9	VV		Undergraduate Research  Project II	SIVAKUMAR M S	3	9			0	0	No				Y	Sayan Gupta	
AM5015	10	XX		Regulations and Standards in Medical Device Technology	RAMAKRISHNAN S	3	9	Basic course on Biomedical Instrumentation		40	0	Yes			MSB112	Y	Sayan Gupta	SI
AM5016	11	F		Numerical methods in Biomedical Engineering	SAUMENDRA KUMAR BAJPAI	3	9			30	20	Yes			MSB208	Y	Sayan Gupta	SI
AM5017	12	C		Statistics for Biomedical Engineers	ADITI KATHPALIA	3	9	Course on Biomedical instrumentation		50	20	Yes			MSB208	Y	Sayan Gupta	SI
AM5018	13	B		Experimental Techniques in Fluid Mechanics	SARITH P SATHIAN	3	9			35	20	Yes			FMSH	Y	Sayan Gupta	SI
AM5019	14	Q		Advanced BME Laboratory	RAMAKRISHNAN S	2	6			0	0	No			MSB207	Y	Sayan Gupta	
AM5019	15	Q		Advanced BME Laboratory	SWATHI SUDHAKAR	2	6			0	0	No			MSB207	N	Sayan Gupta	
AM5022	16	R		Modelling and Simulation Laboratory	RAMAKRISHNAN S	2	6			0	0	No			DCIF	Y	Sayan Gupta	
AM5060	17	M		Psychophysics	MANIVANNAN M	3	9	none		30	30	Yes			MSB112	Y	Sayan Gupta	SI
AM5061	18	J		Design of Thermal and Fluid Systems	SATYANARAYANAN S	3	9			30	0	Yes			FMSH	Y	Sayan Gupta	SI
AM5090	19	K		Flow Visualization & Imaging Techniques	KIRAN RAJ M	9	9			20	0	Yes			DCIF	Y	Sayan Gupta	SI
AM5100	20	B		Biomedical Laser Instrumentation	SUJATHA N	3	9	COT		0	0	No			MSB208	Y	Sayan Gupta	
AM5114	21	D		Flow and Transport in Heterogenous Porous Media	ABHIJIT CHAUDHURI	3	9	NULL		30	0	Yes			FMSH	Y	Sayan Gupta	SI
AM5117	22	C		Analytical Methods in Engineering Mechanics	KANNABIRAN SESHASAYANAN	3	9			50	0	Yes			NEWTON HALL	Y	Sayan Gupta	SI
AM5117	23	C		Analytical Methods in Engineering Mechanics	S GANGA PRASATH	3	9			50	0	Yes			NEWTON HALL	N	Sayan Gupta	SI
AM5131	24	J		Advance Techniques and Models in Regenerative Medicine	SWATHI SUDHAKAR	3	9			60	30	Yes			DCIF	Y	Sayan Gupta	SI
AM5140	25	D		Biomedical Instrumentation	VARADHAN S K M	3	9	COT		0	0	No			MSB112	Y	Sayan Gupta	
AM5150	26	G		Biomedical Nanotechnology	RAGHAVENDRA SAI V V	3	9			25	10	Yes			MSB112	Y	Sayan Gupta	SI
AM5160	27	A		Biomedical Imaging System	ARUN KUMAR THITTAI	3	9	NULL		50	20	Yes			MSB208	Y	Sayan Gupta	SI
AM5190	28	E		Haptics in Biomedical Engineering	MANIVANNAN M	3	9			30	30	Yes			MSB112	Y	Sayan Gupta	SI
AM5200	29	XX		Summer Industrial Internship	ARUL PRAKASH K	15	15	none		0	0	No				Y	Sayan Gupta	
AM5200	30	XX		Summer Industrial Internship	ARUN KUMAR THITTAI	15	15	none		0	0	No				N	Sayan Gupta	
AM5200	31	XX		Summer Industrial Internship	GANESH TAMADAPU	15	15	none		0	0	No				N	Sayan Gupta	
AM5220	32	YY		Summer Project	ARUN KUMAR THITTAI	10	10			0	0	No				Y	Sayan Gupta	
AM5230	33	XX		Clinical Practice Observations in Hospitals	RAMAKRISHNAN S	5	5	Biomedical Instrumentation Course		0	0	No			MSB207	Y	Sayan Gupta	
AM5240	34	D		Experimental Solid Mechanics	AROCKIARAJAN A	3	9	COT		40	0	Yes			MSB208	Y	Sayan Gupta	SI
AM5400	35	R		Experiemental Stress Analysis Lab	AROCKIARAJAN A	2	12			30	0	Yes			SM LAB	Y	Sayan Gupta	SI
AM5400	36	R		Experiemental Stress Analysis Lab	PIJUSH GHOSH	2	12			30	0	Yes			SM LAB	N	Sayan Gupta	SI
AM5402	37	VV		Project II	RAGHAVENDRA SAI V V	14	40			0	0	No				N	Sayan Gupta	
AM5402	38	VV		Project II	GANESH TAMADAPU	14	40			0	0	No				N	Sayan Gupta	
AM5402	39	VV		Project II	ARUL PRAKASH K	14	40			0	0	No				Y	Sayan Gupta	
AM5402	40	YY		Project II	ARUN KUMAR THITTAI	14	40			0	0	No				Y	Sayan Gupta	
AM5405	41	G		Introduction to AI and Game Development	MANIVANNAN M	12	0	Basic Programming and Engineering mathematics		100	100	Yes			NEWTON HALL	Y	Sayan Gupta	SI
AM5411	42	UU		Project	ARUN KUMAR THITTAI	3	20			0	0	No				Y	Sayan Gupta	
AM5440	43	H		Engg Fracture Mechanics	ANURADHA BANERJEE	3	9	AM2200 Strength of Materials or equivalent, Theory of Elasticity (Desirable).		25	10	Yes			MSB208	Y	Sayan Gupta	SI
AM5480	44	UU		Seminar	ARUN KUMAR THITTAI	1	3	NULL		0	0	No				Y	Sayan Gupta	
AM5530	45	A		Advanced Fluid Mechanics	Anubhab Roy	3	9			70	50	Yes			CRC202	Y	Sayan Gupta	SI
AM5535	46	J		Bioinspired Engineering	KUNDANATI LAKSHMINATH	3	9	None		60	40	Yes			MSB208	Y	Sayan Gupta	SI
AM5540	47	L		Irrotational flow theory and applications	BABURAJ A P	3	9	COT		30	15	Yes			FMSH	Y	Sayan Gupta	SI
AM5570	48	F		Introduction to Turbulence	VENGADESAN S	3	9	NULL		40	0	Yes			FMSH	Y	Sayan Gupta	SI
AM5630	49	E		Foundation of Computational Fluid Dynamics	ARUL PRAKASH K	3	9	NULL		35	10	Yes			FMSH	Y	Sayan Gupta	SI
